,ID,Comment,Like,Title_number
12, Fine K              ,회사사람들이 펭수 얘기하길래 탈쓰고 나오는건데 뭐가 재밌나 하고 봤는데 겁나 재밌네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,565,0
13, Nuree Kim              ,펭수는 펭수인데 자꾸 탈쓰고 뭐하냐고 빈정대고 욕하는 사람들!!!펭수는 펭수에요!!! 우리 펭수 욕하지마!!!!펭수야 비트박스도 하고.. 춤도 추고 고생이 많아~~~~~~~,565,0
14, 쏘얌              ,"펭수야 , 요즘 소수의 사람들이 너에게 악성댓글을 달고 루머까지 퍼뜨리는걸 봤어. 이런 댓글은 무시하고 항상 좋은것만 봐! 펭수야 알라뷰 ❤+ 이게 뭐라고 좋아요 66이죠???? 감사합니다2+ 잠시만요 .. 126???? ㅠㅠㅠㅠㅠㅠ 감사해요384 이런 오마이!!",432,0
15, Sae Hwang              ,"지금까지 펭티비 공식계정에 올라온 영상을 수없이 재탕했지만... 펭수는 정말 단 한번도 성별차이를 언급하거나 약자를 향한 혐오나 조롱을 보여준 적 없음. 오히려 그런걸 반대해왔음. 나는 성별, 나이, 인종 등 누군가가 선호에 따라 선택할 수 없는 종류의 특성들이 공격의 빌미가 되는게 너무 싫은 평범한 소시민임. 댓글 하나 다는것도 너무 무섭지만 하고싶은 말은 해야겠음. 나는 그동안 내가 본 영상들을 믿음. 나는 이비에스가 펭수를 통해 만들어낼 수 있었던 세계관이 좋음. 내가 좀 힘들어도 남이 행복했으면 좋겠다는 생각을 하게 만든건 최근 펭수뿐이었음.한국 고유의 훌륭한 콘텐츠가 필요하다며, 문화의 힘을 강조하던 몇몇 기자들이 잠깐의 가쉽을 위해 지금 막 부화한 황금거위 배를 가르는 행위가 너무 화가남. 10살 캐릭터한테 입에 담지못할 욕설을 퍼붓는 일부 몰지각한 성별주의자들이 끔찍함. 화가나서 하루종일 정리안되는 말을 그냥 풀어놓고 있는중임. 펭수는 펭수니까 건들지말고 가던 지옥길들 가셔라 악플러들.",432,0
16, 핑퐁              ,"펭수야!! 이제 구독자들만 믿고가자! 알았지?우리 펭제작진들도 갑작스런 인기에 이 모든 상황을 다 처음 겪을텐데, 쓸떼없이 자기검열하지 않길 바래요, 이런 무해하고 유익한 채널에서 악플이 나오는 자체가 비정상적인거니깐요.  펭수!!  펭수가 그동안 우리에게 보여줬던 따뜻함과 위로는 변함없는 사실이고 우리는 그런 너를 너무나도 사랑해. 지금 펭수는 너무 잘하고 있단다. 모자라고 부족한 어른들 때문에 우리 펭수가 상처받고 의기소침해지지 않았으면 좋겠다. 우리 88만 펭클럽들은 펭수와 제작진들이 우리에게 행복을 준만큼 같이 행복해지는것 그것만 바란다. 사랑해 펭수야.",311,0
17, iliana6627              ,"펭수야, 주접댓글읽기 어때? 악플말고 주접 댓글 읽기해줘!",311,0
18, 지윤              ,"나 얘 왜 인기 많은지 몰랐는데, 돌직구에 성격 시원하네 ㅋㅋㅋㅋㅋㅋㅋㅋ 편집도 잘하고 챙겨본다 펭수🐥",482,0
19, hyun jung lim              ,펭수야 국회의원이 있는 국회의사당에 가서 나쁜 국회의원은 혼내주고 오면 어때? 니가 가면 뭔가 일처리 잘할 것 같다.,482,0
0, 펭펭펭스윗              ,"펭수야 오늘은 정말 감동적인 이야기를 전해.인터넷에서 오늘 읽은건데,이 분이 어제 교보문고에 나일론 잡지를 사러 간거야 근데 어제 오전, 어제 낮, 어제 저녁 이렇게 세번째 간건데 세번째에도 나일론이 없더래 직원에게 가서 물어보니 펭수 화보 찾으세요? 하더니 몇개를 창고에서 가져와서 풀어놓더래 그랬더니, 말은 못하고 나일론 어딨나 찾아해매던 성인 남성들, 머리가 희끗하신 할머니, 그리고 몇몇 사람들이 조용히 다가와 하나씩 집어들고 가더래. 모두 니 화보를 찾던 사람들이었던건데, 놀라운건, 니 화보를 드디어 받아든 이 사람들 얼굴에 모두 웃음꽃이 피어있더래. 언제가도 다들 삶에 찌들어 웃음기라곤 찾아볼수 없던 광화문 교보문고였는데, 그 다양한 연령대의 사람들 얼굴에 아기같은 함박웃음이 띄워져있더래 니 화보를 받아들고서는 말이야. 너무 감동적인 이글을 보고 댓글에 너나 할것 없이 감동이라고 하고 이걸 너에게 전해주지 않으면 안될것 같아서, 너 또한 이걸 전해 들으면 그 어느 날보다 행복해 할것 같아서 이 이야기를 전해. 사랑하는 펭수야, 넌 그런 존재야. 팍팍한 삶 속에 웃음끼를 잃은 많은 현대인 삶속에 조용히 번져들어와 그들에게 미소를, 그리고 동심을, 행복을 되찾아주고 있어. 넌 비단 유튜버에 지나지 않는다는 생각으로 연습생을 시작했을지도 모르겠어. 하지만 넌 이젠 그 이상을 이미 훌쩍 뛰어넘어버렸단다. 어쩌면 너도 그들과 같은 하나의 팍팍한 삶을 살아가던 현대펭이었을지 몰라. 너도 아주 공감하기 어렵지 않을지도 모르겠지만 니가 그런 이들에게 이만큼 큰 행복을 전해준걸 생각하면, 연예인이 그걸 하니, 정치인이 그걸 하니, 베스트셀러 작가가 그걸 하니? 사랑하는 펭수야, 너도 우리만큼 많이 행복했으면 좋겠어.오늘도 행복한 하루를, 그리고 우리에게 전해준 아이같은 함박웃음을 오늘의 너도 갖기를 바래 펭수야.사랑해.",6800,0
1, a jane              ,펭수야아는형님 홍보 영상보고 생각났는데펭수가 덩치가 커서 문도 들어가지 못하고 낑낑거리는 모습이 너무 안타까웠어그래서 말인데우리사회에도 펭수처럼 손가락이 한개밖에 없거나 휠체어때문에 이동하기 힘든 길이나 문이 많잖아이 외에도 펭수가 살면서 특별한 사람들이 생활하기 어려운 부분들은 많이 알려줬으면 좋겠어개인의 문제가 아니라 사회가 고쳐야 하는거잖아,6800,0
2, pic lo              ,펭수 제작진이 트집 잡으려고 혈안이 된 사람들 신경쓰기보다 펭수로 인해 웃음을 얻고 힐링을 받는 사람들에게 집중해서 생각하고 판단해야 한다고 생각해요 펭수 앞으로도 잘 나아가자!,1100,0
3, hana mana              ,펭수를 사랑하는 사람이 훨씬 많은 거 알지?펭수는 그냥 펭수야..🐧부정적인 사람들은 도움이 안 됩니다긍정적인 사람들과 얘기하면 돼요💙,1100,0
4, 나는펭수앓이중              ,중학생 키우는 40대인데 우리엄마한테 펭수 사달라고 하고 싶다.,1300,0
5, NYLON TV KOREA              ,"펭수가 다이어트 안하고 있는 그대로의 모습을 마음껏 보여주어 화보가 더욱 꽉 차고 풍성해질 수 있었어요💛나일론이 펭수에게 보여 준 컬러풀한 브레이드 헤어와 반짝이는 날개 장식 그리고 액세서리 레이어드 등등- 화보에서 보여 준 룩을 통해, 화보를 보는 분들이 더 화려해지고 싶은 날 또는 발랄한 기분을 고조시키고 싶은 날에 활용했으면 하는 마음이에요. 곧 런웨이에 서는 슈퍼스타 펭수가 될 거라 믿어 의심치 않는 나일론이 펭수와 자이언트 펭TV 제작진에 감사함을 전합니다! 펭랑해🐧💕",1300,0
6, Nathali M              ,악플좀 달지마라 이 사회 부적응자들아.,1000,0
7, Seraaa              ,"펭수야, 나는 두 아이를 키우는 아줌마야. 요즘 너에 대해 악성댓글이 많다는 얘기를 듣고 걱정이 많이 되고 있어. 그런데 세상에는 너를 미워하고 시샘하는 사람보다 너를 사랑하고 좋아하는 사람들이 훨씬 많으니 우리들을 보면서 힘내고 이겨냈으면 좋겠어. 펭수가 나에게 위로가 되고 힘이 되어주듯이 나도 그런 팬이 되어줄께. 펭수야- 나는 두 아이를 낳고 키우면서 첫 임신에 첫 육아를 겪으며 산후우울증, 육아우울증이 연달아서 와서 너무 힘들었어. 그러던 와중에 삶의 낙도 없고 스트레스를 풀 길도 없어서 힘들었는데 펭수가 나타나서 너를 알게되어서 웃음을 되찾았어. 그래서 펭수가 너무 고마워. 펭수가 정말 좋아. 내 삶의 빛이 되어주는 고마운 펭수야- 우리 오래오래 함께 하자- 사랑해^^",1000,0
8, 월드곰탱이              ,펭수 지켜주세요.ㅜㅜ대통합 방송국놈들아이미지 소비만 시키지말고펭수를 모든 방송국놈들 다 같이 지켜라방송국을 건들면 어찌되는지를 보여줘랏!!!,833,0
9, 차차              ,진짜 웃기는게 제작진은 절대 본체 밝힐 생각 하나도 안보이는데...다들 펭수 엑스라이 찍은거 안봤나? 하긴 진짜ㅜ안봤으니까 와서 난리치겠지,833,0
10, R K              ,펭수 입덕 단계1: 뭐지 이건?2: 귀엽네3: 끄흡4: 펭수 보면 눈물 남5: 펭수 건들지 마 죽어6: 앓아 누움7: 펭수가 행복했으면 좋겠음,3000,0
11, 나님              ,구독취소한다는 글 올라와도 펭수 그 와중에도 구독자오름ㅋㅋㅋ왜냐 그렇게말하는사람들은 애초에 구독안해서 타격없거든,3000,0
12, 링다링              ,펭수 건들지마라 다 죽탱이 날려버릴거임👊,801,0
13, 김제이              ,진심은 펭수가 잘나가서 배아픈게아니야펭수로 많은사람들이 위로받고 위안받고 힐링받고 행복해하는게 미치도록싫은거야사실은 본체가 한남이든 논란이되는거든 상관없고 남이행복한걸 빼앗으려는 음흉함이잖아 댓글만봐도 암투병중인사람 몸이아픈사람도있고 마음이아픈사람도있고 삶에지친 수많은 직장인들과 동심의세계를 가진 많은 어린이들 남녀노소 행복해하고 울고웃는데 그걸 짓밟을권리가 누구한테있는건지 생각해본건가?펭수는 펭수일뿐이고 펭수는 펭수다 제발 보기싫으면 구독취소하고 여긴 얼씬도하지말길바람,801,0
14, 이휘민              ,유재석도 까이는 카페에서 뭘 기대합니까 일부러 상처 주려는 사람들 때문에 펭수가 상처받지 않았으면...,675,0
15, KBL TV              ,"펭수...농구... 좋아하세요?농구... 좋아하시냐구요?KBL 올스타전에 와주세요🏀🏀🏀🏀🏀",675,0
16, _바쿄신쳐돌              ,하다하다 캐릭터에 악플인사람들 진짜 피곤허게 산다 덕질하면서 한차례 커뮤에서 선동 날조 당해봤지만 끄떡 없더라 펭수도 신경쓰지 말구 항상 힐링시켜줘 펭랑해,571,0
17, freesia *              ,펭수야 머그컵좀 만들어주면 안될까? 매일 너의 모습 보며 기분좋게 모닝커피 마시고싶어♡,571,0
18, 409              ,여러분~ 허위사실 유포는 고소감이에요~EBS가 만만하고 일반인 상대로 강경하게 대처하지 않을 것 같으니까 마음껏 헛소리들을 하시는 모양인데 뇌주름 좀 잡고 삽시다인터넷에 과몰입하면 사고력이 떨어진다는 거 꼭 기억하시구요~ 어휴 뭐라뭐라 다 쓰고 싶은데 지들딴엔 연약한 자존감에 상처받았답시고 또 펭수 욕할까봐 아무 말도 못하겠다 야,407,0
19, 규낙규              ,이때싶어서 팬도 아닌거같은 애들이 팬인척하면서 남녀싸움 정치싸움 일으키는거 개악질이다 안티랑 같이 손잡고 나가,407,0
0, 권민식이제 라이브 킹              ,아니 개웃긴 건 애기들은 한명도 없어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3200,0
1, 대한민국 보건복지부              ,ㅋㅋㅋㅋㅋ 펭동단결🙋‍♂️🙋‍♀️ 보기 좋아요 😍 중독성있쨔🙌,3200,0
2, fg LEE              ,협박장.박쩨영 이제 pd인거 인정할게 근데 앞으로도 1박2일의 나영석처럼 무한도전의 김태호처럼 멤버인냥 투톱인냥 계속나와 안그럼 무슨 수를 써서라도 데뷔를 시켜버릴거야,1700,0
3, SID              ,박재영PD는 계속 출연해야것다 다른 매니저들이 박재영PD 끼을 따라 가지를 못한다,1700,0
4, hana 1              ,노래에서 90년대 감성 느껴지는건 나뿐임? ㅋㅋㅋㅋㅋ,427,0
5, 대한민국법제처              ,1:12 이렇게라도 함께해서 너무.... 좋아요 ㅠㅠㅠㅠㅠㅠㅠ💙🐧💙,427,0
6, 인사처TV              ,성덕 새령이 축하드려요~~ 펭수 X 새령 콜라보 꼭 성사되면 좋겠어요!!^^ (오시는 김에 법제처 옆에 있는 인사처도 한번 와주면 더 펭랑합니다♥),619,0
7, mina kim              ,김명중사장님께 요청드립니다!펭펭!여러분!열일하는 펭수 그만큼 보상받을수 맀도록 펭수복지를 위해 우리함께힘써요!1. 펭수랑 펭티비 제작진 올해 성과급 펭펭!2. 펭수 굿즈 판매시 수익금의 일정 비율로 펭수에게 분배3. 스케줄빡센 펭수 편히 쉴수있게 천장높은 연예인밴4. 펭수 체력관리를 위해 특별휴가 제공5. 펭수 경추건강을 위해 마사,619,0
8, 녹두              ,뭔가 보니까 짠하다.. 어느날 5살 짜리 동생한테 보여줄 채널을 돌리다가 우연히 발견해서 유튜브로 검색해서 보기 시작했던 펭수.. 구독자 2만명이 엊그제같은데 이제 진짜 슈퍼스타로 잘 자란 것 같아서 내가 다 울컥하네... 보면서 슈퍼스타가 되기위해 남극에서 여기까지 헤엄쳐서 생판 모르는 땅에서 부모님과 떨어져 지내게 됀 10살짜리 펭귄 연습생이 이제는 여러 팬층을 이끌고 어린이를 넘어 어른에게까지 감동을 주는 펭수가 되었다는게 훅 느껴져서 괜히 슬퍼지내... 우리 펭수 앞으로도 매니저들과 제작진하고 잘 지내면서 같이 참치길만 걷자♥ 가족들이랑 떨어져 지내면서 외로운 거 참느라 수고했어 우리 아기♥ 사랑해 펭수야 펭러뷰,1000,0
9, 루루              ,"내가 살다살다 펭귄덕질+펭귄매니저덕질을 하게 될줄이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 바째영 당신은 내맘속에선 영원히 매니저야ㅠㅠㅠㅠㅠ 왤케 귀여워요? 매니저로 다시돌아와ㅠㅠㅠ 첨에 펭수는 생각이없어요? 이러는거 봤을때 성격 안좋은줄 알고 오해했었는데ㅋㅋㅋㅋㅋㅋ 지금은 내가 젤 사랑하는 케미...ㅠ 툴툴대면서 다해주는거 너무 기여워요,,❤",1000,0
10, nuiamaz              ,"아련한 리코더 씬을 보며, 박재영 피디님의 부모님은 아들이 EBS에 입사할 때 이러한 오늘날을 예상할 수 있었을까...라는 생각을 했습니다",3100,0
11, 호계동 여행가              ,EBS에 연예대상이 있다면 올해 대상은 펭수다,3100,0
12, 번호호출              ,잊지 못해 펭수 만난 2019년 ❤️,425,0
13, jiieun              ,0:45 박째영 나오고 앞뒷내용 다 잊어먹었어 ㅋㅋㅋㅋㅋㅋ,425,0
14, 알랭드보통내기              ,사실 이 영상의 주인공은 구매현피 밪째영이여따ㅋㅋㅋㅋㅋㅋ,221,0
15, 보민이모              ,펭수야.  나 이틀동안 밤잠안자고 영상 정주행했어. 너를 이제야 알다니ㅠ 너를 알기전의 내 인생은 암울했는데 너를 알고나서 너무 행복해ㅠ그리고 너의 긍정에너지 너무 감동이야. 근데 처음의 요들송이랑 요즘의 요들송 들어보면 목이 많이 쉰거같어..우리 펭수 우주대스타도좋은데 건강도 챙기자..조금 천천히 가도될것같은데.. 무리하지말고 건강꼭챙겨. 오래 오래 옆에있어줘♡,221,0
16, 서울이엠연구소              ,친환경 기업 서울이엠연구소에서도 펭수를 응원합니다.>< 나중에 시간되시면 em체험하러 오세요~~펭러뷰 ★,358,0
17, 이슬예나PD님              ,꺄 펭수야 70만 됐어!!! ❤❤❤🎂🍰🧁🎂🍰🧁❤❤❤,358,0
18, 세숲Sesup              ,저희 담임선생님께서 펭수를 그렇게 좋아해요 펭수종이로 입체적인 것도 만드시고 펭수 귀엽다고 자랑하시고 이모티콘도 펭수이고 펭수카카유톡 테마 아이폰만 돼서 아쉬워하시더라고요 ㅠㅠ 선생님께서 내년에 가시는데 펭수를 보게 해드리고 싶어요 ㅠㅠ 통영에 있는 충무여중에 한 번만 와주세요 ㅠㅠ 부탁입니다,175,0
19, 김소래              ,박재영이 역시 매니저중에 연기 원탑이다 ㅋㅋㅋ,175,0
0, 샤샤샥              ,그나저나 펭수 이모티콘 산사람👇 누르떼여-,15000,0
1, 한국지역난방공사              ,"펭수야 좀 있으면 겨울이야, 남극 살다 와서 추운 거 안 무섭겠지만,, 한국겨울도 만만치 않단다. 추우면 언제든지 연락하렴. 난방 빵빵하게 해줄께. 그리고 우리 앞으로 친하게 좀 지내자..",15000,0
2, FURSYS              ,아직도 펭수가 소품실에서 사는 걸 지켜볼 수 없네요 ;; 전용 사무실 필요하면 연락주세요 ~,2900,0
3, yungi park              ,무슨 여기는ㅋㅋㅋㅋㅋㅋ 연기자뿐만 아니라 피디 작가 매니저 전문가까지 다 연기를 하고잇냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,2900,0
4, 귤귤              ,유튜브에 자꾸 이상한 펭귄이 뜨길래 저런걸 왜 봐 하면서 절대 클릭 안 했는데 한번 본 뒤로 빠져들어서 계속 보는 중ㅋㅋㅋㅋ,3400,0
5, 네네스퀵              ,진짜 펭수는 선한 영향력이다.. 인기 동영상에 매일 이상한거 올라오는것만 보다가 펭수가 우리나라에 유행한다는건 아직 우리나라에 희망이 있다는거같다. 귀엽고 누군가에게 친구가되어주고 웃음이되어주고 교육적이고... 처음엔 전혀 ebs 스럽지 않다고 느꼈지만 내 착각이였다 정말 ebs는 평생교육이 맞는거같음. 내인생에 나타나줘서 고마워,3400,0
6, 부댜              ,이 프로 너무 유용한 게 계절성 우울증이 생각보다 위험한건데 펭수 데리고 컨텐츠 만드는 것처럼 사람들한테도 정보 제공 참 잘한다,1900,0
7, 사랑해액              ,왜 아무도 원배 매니저가 나레이션 했다는 사실은 주목해주지 않는 건데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제일 웃겨,1900,0
8, Syd Aus              ,갱년기 우울증에 빈 둥지 증후군까지 앓고 있는해외 사는 아줌마인데오늘 아침에 우연히 펭수 보고서 지금 4시간째주행해서 보고 있어요.펭수..귀여우면서도공감가는 어록들에 은근 중독성 있어요..넘 고마워요..^^,1000,0
9, Jeje              ,"매니저들이 뭐하고 놀고 싶었냐는 물옴에 그냥 매니저들하고 놀고 싶었다고 말하는 거랑, 바쁜 매니저들 이해하면서 괜찮아요 라고 말해주는 거 진짜 딱 그 또래 아이들이 부모님한테 하는 말 같아서 찡한 느낌이 있어요 ㅜㅜ",1000,0
10, 알랭드보통내기              ,육십만 기념 팽비어천가(澎飛御天歌)남극팽에(南極澎恚) 배어날수(蓓魚捏秀)남녀노소(男女老少) 모두섭렵(毛頭涉獵)좌로인정(左虜人正) 우로인정(右虜人正)압구루기(狎鷗漏器) 대굴대굴(大窟大窟)남극팽에(南極澎恚) 배어날수(蓓魚捏秀) 하고풍거(河鼓風去) 삭다해라(削多海蘿)재치폭발(才致爆發) 행복천사(幸福天使) 노란부리(璐蘭部俬) 노란다리(璐蘭多利)시선강탈(視線强奪) 팽귀여어(澎歸蠡魚)이거하나(移鉅賀拏) 기억해조(氣億海鳥)건강만이(健康萬理) 최고란다(最高瀾多) 팽팽(澎澎)🐧❤️❤️,3000,0
11, Ladymama              ,"역시 본질을 잃지않는 EBS,,, 교육적인 예능 만들어가네요",3000,0
12, 펭수팬              ,정신상담센터를 이렇게 재밌게 이렇게 위화감 없이도 할수 있는거군요. 반성합니다. 그리고 다들 천재이신거 같아요.,1500,0
13, 너를응원해              ,이쯤에서 또다시 제기되는 의문. 전원배는 퇴사자가 맞는가...,1500,0
14, 안나              ,펭수야 나중에 검정고무신 완창 부탁해. 펭수가 부르는거 진짜 구수하다 영상엔 5초도 안되서 너무 감질나 8ㅅ8,184,0
15, 정신과의사정우열              ,촬영하면서 웃게 될 줄 알았는데 직접 만나보니 제작진분들 모두 섬세하고 진지하게 펭수를 대하고 있었어요 펭수는 펭수니까요 많은 분들이 펭수를 보며 위로 받으시길 바래요~~💕 펭수가 힐링인 이유 분석도 보러 오세요!,184,0
16, 김재은              ,설정아니고 진짜 생물학자를 모셨네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1000,0
17, 김용기              ,댓글에 공식 기관들 왤케 많으셔 ㅋㅋㅋ,1000,0
18, Jisoo Esther Kim              ,"8:07 아무렇지 않게 “괜찮아요” 이말이 왜이렇게 맘이 아프죠. 사실은 많이 상처받았었는 데도 가족이니까, 또는 좋아하는 사람이니까 (그래 이 정도면) 괜찮다고 말하던 게 생각나요.",229,0
19, 나 좀 치명적              ,"법제처, 난방공사, 보건복지부, 노동부, 기업 이런곳에서보러오는거 보고 이런유튜브채널도 있구나란 생각도 들고 완전신기해..ㅋㅋㄱㅋ",229,0
0, 표리Pyorii              ,펭 : 펭수에게 응원받고 싶지만수 : 수능은 다시 치고싶지않아(12년전 수험생),3300,0
1, 강쥐              ,펭수야 이번 수특 표지 후보 3안이 다 너야...,3300,0
2, ONSTYLE D              ,펭하! 겟잇뷰티사업팀 담당자입니다.K뷰티를 대표하는 겟잇뷰티가 아시아국가의 정상들이 모인 한아세안 특별정상회의 행사에서 K뷰티를 전파하고 소개하는 메인 스테이지를 장식할 예정입니다. 겟잇뷰티는 한아세안 특별정상회의 홍보대사 펭수님과의 짧은 만남이라도 간절히 원하고 있습니다. 도와쥬떼요 펭수님 ㅠ너무너무너무 바쁘시겠지만 긍정적인 검토를 부탁드리며 younga.cho@cj.net으로 연락 쥬떼요. 펭러뷰♡,1400,0
3, 아미선              ,펭수야 너 배우 박보영님 알아? 그 박보영님이 너한테 빠져가지고 맨날 보신대ㅠㅠㅠ 우엥ㅠ 진짜 우리 펭수 앞으로도 참치길만 걷자ㅠㅠ,1400,0
4, [K]정국씌              ,펭수랑 장성규 만나면 진짜 개재밌겠다 ㅋㅋㅎㅋㅎㅋㄱㅋㅋㅋㅋ,885,0
5, 헤이              ,정승제 라는 좋은 선생님이 EBS 에 있다는건 진짜 축복이다.,885,0
6, 사랑해이석훈              ,"펭수야유튜브 댓글을 보니 너에게 고마워하는 사람들이 많길래 나도 남겨봐 나는 그냥 대학 때문에 지방에서 서울로 올라와서 타지생활하는 스무살 대학생이야기숙사가 없어서 없는 살림에 자취을 하고, 아침엔 학교가고 학교가 끝난 후엔 생활비를 벌기 위해 평일 매일 아르바이트를 하며 지내 스무살새내기의 대학생활은 풋풋하고 싱그러울 줄 알았는데 이렇게 일년을 다 보내고 나니 참 허무하고 팍팍하다는 생각을 하는 요즘이야그러다 너를 알게됐어이 독특하게 생긴 펭귄이 뭐길래 우리 엄마아빠까지도 팬이 된건가 해서 너의 채널에 달어와 영상을 정주행 했어스무살이 져야할 무게보다 더 한 무게를 지고 있던건지, 가끔가다 나오는 너의 따뜻한 말이 나를 위로하고 어루만져 주었어뽀로로와 핑구를 보며 큰 세대이기에 내 인생에 펭귄은 뽀로로와 핑구만 있다고 생각해왔는데 펭수 네가 이 둘보다 더 큰 존재가 됐어위로해줘서 너무 고마워 펭수야요즘 네 영상 보면서 하루를 마무리 해 어린이였던 누군가에게 위로를 전하는 네가 있어서 참 다행이야 모두에게 행복을 줘서 너무 고마워언제까지나 펭수로 남아줘사랑해❤️",1000,0
7, 방병철              ,EBS 1호 개그맨과 EBS 1호 아이돌의 만남이란.....,1000,0
8, Jinsook Park              ,펭: 펭수야수: 수능은 아직 안봤지만 꼭 너랑 보고싶다,372,0
9, EBSi 고교강의              ,그래도 ebsi인데 엣헴엣헴 유튜브 알고리즘의 안내를 따라 깨어있는 수험생은 호온이난다. 오늘 잠을 미룰 수험생은 “기출의 모든 것” 검색하고 오답률 탑5 강의 정주행하고 내일 21시에 🍯 💤 가자! 사랑합니다!(그래도 펭수 영상 한 편 정도는 봐 드릴게),372,0
10, Sumin Kwon              ,펭수가 수험생 선배님들 위해서 수능 전에 인터뷰를 하셨군요 ㅠㅠㅠ 펭랑해 고마워요 땡큐!!!,69,0
11, 섽듀              ,펭수님 갑자기 불러서 죄송한데요 선생님께서 펭수를 너무 보고 싶으데요혹시 판곡 초등학교 3층 3-4반 교실 와줄수 있나요.,69,0
12, 끌로2              ,수: 수험생 여떠분능: 능력을 활짝 펼치고 오떼여대: 대세 펭수가 뒤에 있떠여박: 박치기 북치기 펭펭펭! 화이펭(펭수야 나 잘했찌?!😉🐧),193,0
13, 강은              ,이모티콘 사는일은 돈 아깝다고 생각한 동년배 1인.하지만 펭수 이모티콘 구매했어.이모티콘에 음성지원까지 됐으면 하는 아쉬움이 있지만 너무 좋다.,193,0
14, H K              ,수능 본지 20년이 다 돼가는 02학번인데 부뤼~~나케 뛰쳐 들어왔넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,42,0
15, 송혜원              ,우리 펭수 목소리가 예전같지 않네..많이 힘든가ㅜㅜ스케줄 하루에 4개 있고 그러던데..물론 지금도 좋고 매력터지는데 힘들까봐 걱정걱정 건장?한 10살 펭귄 펭수 화이팅!!,42,0
16, hyonee peng              ,펭수야 사랑해❤️다른 사람들 말 듣지 말구 우리 펭클럽 말만 들어!나쁜 건 다 우리 팬들이 대신 들어 줄게!우리 펭수는 바르고 예쁘고 고운 말만 듣자!펭수 때문에 요즘 너모 펭복해🐧💛펭러뷰💙 펭랑해🖤,10,0
